date,price
2024-01-25,0.4666
2024-01-26,0.4849
2024-01-27,0.4862
2024-01-28,0.4903
2024-01-29,0.526
2024-01-30,0.5136
2024-01-31,0.4976
2024-02-01,0.5078
2024-02-02,0.5146
2024-02-03,0.5124
2024-02-04,0.4934
2024-02-05,0.4944
2024-02-06,0.4983
2024-02-07,0.5022
2024-02-08,0.5304
2024-02-09,0.5407
2024-02-10,0.5515
2024-02-11,0.5414
2024-02-12,0.5592
2024-02-13,0.5449
2024-02-14,0.5768
2024-02-15,0.6087
2024-02-16,0.5986
2024-02-17,0.6096
2024-02-18,0.6193
2024-02-19,0.6308
2024-02-20,0.6216
2024-02-21,0.5988
2024-02-22,0.5858
2024-02-23,0.5824
2024-02-24,0.5969
2024-02-25,0.5914
2024-02-26,0.6191
2024-02-27,0.6239
2024-02-28,0.6287
2024-02-29,0.6547
2024-03-01,0.7195
2024-03-02,0.7416
2024-03-03,0.7279
2024-03-04,0.7701
2024-03-05,0.6923
2024-03-06,0.7349
2024-03-07,0.7427
2024-03-08,0.7228
2024-03-09,0.7416
2024-03-10,0.7166
2024-03-11,0.7754
2024-03-12,0.7481
2024-03-13,0.7638
2024-03-14,0.7509
2024-03-15,0.7274
2024-03-16,0.6591
2024-03-17,0.6814
2024-03-18,0.6603
2024-03-19,0.5864
2024-03-20,0.6396
2024-03-21,0.6318
2024-03-22,0.6147
2024-03-23,0.6232
2024-03-24,0.6468
2024-03-25,0.6567
2024-03-26,0.665
2024-03-27,0.6478
2024-03-28,0.6511
2024-03-29,0.6643
2024-03-30,0.6436
2024-03-31,0.6501
2024-04-01,0.6212
2024-04-02,0.5807
2024-04-03,0.5693
2024-04-04,0.5831
2024-04-05,0.5741
2024-04-06,0.5836
2024-04-07,0.5892
2024-04-08,0.6137
2024-04-09,0.5912
2024-04-10,0.5862
2024-04-11,0.5858
2024-04-12,0.5027
2024-04-13,0.4449
2024-04-14,0.4673
2024-04-15,0.461
2024-04-16,0.4583
2024-04-17,0.444
2024-04-18,0.458
2024-04-19,0.4682
2024-04-20,0.5072
2024-04-21,0.4993
2024-04-22,0.5167
2024-04-23,0.5
2024-04-24,0.4746
2024-04-25,0.4705
2024-04-26,0.4631
2024-04-27,0.4675
2024-04-28,0.4603
2024-04-29,0.4571
2024-04-30,0.4412
2024-05-01,0.4501
2024-05-02,0.4578
2024-05-03,0.4673
2024-05-04,0.4633
2024-05-05,0.458
2024-05-06,0.4541
2024-05-07,0.4414
2024-05-08,0.4518
2024-05-09,0.4635
2024-05-10,0.4479
2024-05-11,0.439
